Market_ID,Plan_ID,PPO,Network Score,Satisfaction Score,Premium,Inside Good Share
1,5,0,0.86,0.8,2.4977626,0.17441
1,16,0,0.88,0.865,2.4461894,0.26550
1,15,1,0.91,0.875,2.7951866,0.33915
2,2,0,0.84,0.825,2.4274478,0.18765
2,6,0,0.89,0.875,2.4308751,0.26567
2,3,1,0.9,0.915,2.7646214,0.33665
3,11,0,0.84,0.83,2.4019909,0.20760
3,1,1,0.91,0.85,2.7879188,0.33332
3,14,0,0.92,0.85,2.489105,0.24262
4,13,1,0.78,0.82,2.5746693,0.26121
4,6,0,0.89,0.875,2.471225,0.25927
4,9,1,0.85,0.775,2.6391949,0.27327
5,1,1,0.91,0.85,2.7081052,0.31851
5,11,0,0.84,0.83,2.3812694,0.20672
5,9,1,0.85,0.775,2.5904452,0.27397
6,16,0,0.88,0.865,2.415214,0.24160
6,12,1,0.875,0.91,2.7447939,0.31393
6,6,0,0.89,0.875,2.4208059,0.24147
7,10,0,0.83,0.725,2.3723274,0.20236
7,6,0,0.89,0.875,2.4850658,0.30432
7,11,0,0.84,0.83,2.4047041,0.25985
8,2,0,0.84,0.825,2.3930131,0.17902
8,12,1,0.875,0.91,2.6613939,0.30733
8,3,1,0.9,0.915,2.6822607,0.32162
9,12,1,0.875,0.91,2.6676234,0.30233
9,1,1,0.91,0.85,2.6659635,0.31015
9,8,0,0.92,0.925,2.5709518,0.19275
10,4,1,0.84,0.78,2.5900731,0.26842
10,12,1,0.875,0.91,2.7122069,0.31204
10,8,0,0.92,0.925,2.5863378,0.21761
11,13,1,0.78,0.82,2.6040037,0.25564
11,3,1,0.9,0.915,2.8022071,0.33577
11,2,0,0.84,0.825,2.4531754,0.19538
12,8,0,0.92,0.925,2.4957511,0.28213
12,10,0,0.83,0.725,2.3658265,0.17589
12,7,1,0.9,0.85,2.7411859,0.32723
13,14,0,0.92,0.85,2.5025084,0.24307
13,2,0,0.84,0.825,2.4046809,0.21134
13,3,1,0.9,0.915,2.7986784,0.33131
14,15,1,0.91,0.875,2.6526309,0.30283
14,4,1,0.84,0.78,2.5449646,0.22936
14,7,1,0.9,0.85,2.6313184,0.28352
15,16,0,0.88,0.865,2.4333448,0.22267
15,7,1,0.9,0.85,2.7305503,0.27029
15,12,1,0.875,0.91,2.6892728,0.30933
16,15,1,0.91,0.875,2.6794719,0.29094
16,4,1,0.84,0.78,2.5515484,0.24003
16,12,1,0.875,0.91,2.6507463,0.28244
17,15,1,0.91,0.875,2.6565481,0.30578
17,9,1,0.85,0.775,2.5571551,0.23284
17,7,1,0.9,0.85,2.6474972,0.27411
18,2,0,0.84,0.825,2.4192276,0.23631
18,16,0,0.88,0.865,2.4660388,0.28711
18,13,1,0.78,0.82,2.6860252,0.25424
19,14,0,0.92,0.85,2.4556249,0.22093
19,3,1,0.9,0.915,2.7242496,0.32653
19,8,0,0.92,0.925,2.4492958,0.25614
20,3,1,0.9,0.915,2.7924078,0.34523
20,16,0,0.88,0.865,2.4476099,0.24918
20,11,0,0.84,0.83,2.4446056,0.19059
21,11,0,0.84,0.83,2.3980698,0.18779
21,15,1,0.91,0.875,2.7342115,0.30667
21,12,1,0.875,0.91,2.6868402,0.30841
22,2,0,0.84,0.825,2.4295223,0.24825
22,8,0,0.92,0.925,2.5681955,0.32754
22,10,0,0.83,0.725,2.428971,0.18093
23,4,1,0.84,0.78,2.5398588,0.24257
23,15,1,0.91,0.875,2.6588532,0.29678
23,12,1,0.875,0.91,2.6450225,0.27781
24,6,0,0.89,0.875,2.4114907,0.27631
24,16,0,0.88,0.865,2.4144952,0.25461
24,14,0,0.92,0.85,2.4733951,0.25649
25,6,0,0.89,0.875,2.4350459,0.26762
25,12,1,0.875,0.91,2.7807085,0.31412
25,2,0,0.84,0.825,2.3985643,0.20583
26,10,0,0.83,0.725,2.3780693,0.20287
26,2,0,0.84,0.825,2.4231787,0.23437
26,7,1,0.9,0.85,2.7949593,0.33632
27,2,0,0.84,0.825,2.4081921,0.20006
27,12,1,0.875,0.91,2.7547891,0.33687
27,14,0,0.92,0.85,2.4815216,0.25158
28,9,1,0.85,0.775,2.5931538,0.24912
28,15,1,0.91,0.875,2.6827597,0.33432
28,13,1,0.78,0.82,2.5520363,0.22127
29,6,0,0.89,0.875,2.4963869,0.24725
29,4,1,0.84,0.78,2.6733682,0.28658
29,8,0,0.92,0.925,2.5819991,0.24641
30,5,0,0.86,0.8,2.4119298,0.20906
30,3,1,0.9,0.915,2.751897,0.34575
30,13,1,0.78,0.82,2.5884117,0.24153
31,16,0,0.88,0.865,2.4532704,0.27958
31,6,0,0.89,0.875,2.4739424,0.29800
31,10,0,0.83,0.725,2.3967004,0.18929
32,14,0,0.92,0.85,2.4618804,0.21391
32,15,1,0.91,0.875,2.6579375,0.30739
32,7,1,0.9,0.85,2.6403008,0.29001
33,11,0,0.84,0.83,2.3807241,0.21194
33,4,1,0.84,0.78,2.5992414,0.27099
33,1,1,0.91,0.85,2.7119444,0.31783
34,6,0,0.89,0.875,2.4436856,0.28270
34,13,1,0.78,0.82,2.6289228,0.27859
34,16,0,0.88,0.865,2.4817568,0.22808
35,16,0,0.88,0.865,2.4747631,0.24997
35,9,1,0.85,0.775,2.6737581,0.30920
35,2,0,0.84,0.825,2.4087423,0.22225
36,16,0,0.88,0.865,2.4221563,0.22383
36,3,1,0.9,0.915,2.7015132,0.32957
36,9,1,0.85,0.775,2.5685354,0.25392
37,1,1,0.91,0.85,2.6798971,0.31928
37,13,1,0.78,0.82,2.5505854,0.23093
37,4,1,0.84,0.78,2.5674179,0.25623
38,2,0,0.84,0.825,2.4136997,0.18098
38,12,1,0.875,0.91,2.6859682,0.32744
38,3,1,0.9,0.915,2.7745485,0.29077
39,7,1,0.9,0.85,2.7328568,0.32436
39,16,0,0.88,0.865,2.428009,0.24171
39,6,0,0.89,0.875,2.4599114,0.22548
40,3,1,0.9,0.915,2.7283292,0.33530
40,9,1,0.85,0.775,2.6307453,0.26115
40,16,0,0.88,0.865,2.4795735,0.19984
41,11,0,0.84,0.83,2.3757443,0.22540
41,12,1,0.875,0.91,2.7673014,0.34238
41,5,0,0.86,0.8,2.3876033,0.22083
42,16,0,0.88,0.865,2.478843,0.22222
42,4,1,0.84,0.78,2.6120349,0.28538
42,9,1,0.85,0.775,2.6114742,0.28750
43,15,1,0.91,0.875,2.713187,0.30846
43,4,1,0.84,0.78,2.6678659,0.19825
43,7,1,0.9,0.85,2.660407,0.29276
44,8,0,0.92,0.925,2.5295079,0.29607
44,2,0,0.84,0.825,2.4936668,0.17141
44,12,1,0.875,0.91,2.8074112,0.30898
45,7,1,0.9,0.85,2.6250979,0.26041
45,1,1,0.91,0.85,2.6139662,0.27986
45,15,1,0.91,0.875,2.6189711,0.28184
46,8,0,0.92,0.925,2.5027764,0.29659
46,2,0,0.84,0.825,2.4007042,0.21404
46,14,0,0.92,0.85,2.4752223,0.26759
47,11,0,0.84,0.83,2.3978819,0.20639
47,15,1,0.91,0.875,2.7465816,0.34068
47,16,0,0.88,0.865,2.4226806,0.24371
48,2,0,0.84,0.825,2.414807,0.22960
